Zona_Pais,Enero,Febrero,Total_Ene_Feb
TOTAL,321992.0,331967.0,653959
AMERICA DEL NORTE,224641.0,230248.0,454889
CANADA,51655.0,52221.0,103876
ESTADOS UNIDOS,165662.0,171365.0,337027
MEXICO,7324.0,6662.0,13986
AMERICA CENTRAL,20640.0,18134.0,38774
BELICE,58.0,47.0,105
EL SALVADOR,2222.0,1985.0,4207
GUATEMALA,2883.0,3475.0,6358
HONDURAS,1525.0,1262.0,2787
NICARAGUA,9186.0,6828.0,16014
PANAMA,4766.0,4537.0,9303
AMÉRICA DEL SUR,16478.0,15632.0,32110
ARGENTINA,5677.0,4150.0,9827
BOLIVIA,188.0,108.0,296
BRASIL,2731.0,2655.0,5386
CHILE,2004.0,2568.0,4572
COLOMBIA,2539.0,2654.0,5193
ECUADOR,615.0,601.0,1216
GUYANA,32.0,21.0,53
GUYANA FRANCESA,,,
PARAGUAY,100.0,63.0,163
PERU,1750.0,2000.0,3750
SURINAM,2.0,4.0,6
URUGUAY,520.0,427.0,947
VENEZUELA,320.0,381.0,701
CARIBE,845.0,1143.0,1988
BAHAMAS,37.0,63.0,100
BERMUDA,3.0,3.0,6
CUBA,174.0,171.0,345
HAITI,25.0,14.0,39
JAMAICA,52.0,115.0,167
PUERTO RICO,10.0,11.0,21
REPUBLICA DOMINICANA,442.0,415.0,857
TRINIDAD Y TOBAGO,39.0,153.0,192
OTROS CARIBE,63.0,198.0,261
EUROPA,54283.0,61587.0,115870
ALEMANIA,9298.0,11036.0,20334
AUSTRIA,1018.0,1277.0,2295
BELGICA,1147.0,1858.0,3005
DINAMARCA,1167.0,1372.0,2539
ESLOVAQUIA,241.0,333.0,574
ESPAÑA,3962.0,4401.0,8363
FINLANDIA,269.0,251.0,520
FRANCIA,9394.0,12808.0,22202
HUNGRIA,496.0,381.0,877ta
IRLANDA,548.0,493.0,1041
ISRAEL,1698.0,1624.0,3322
ITALIA,2643.0,2577.0,5220
NORUEGA,506.0,589.0,1095
PAÍSES BAJOS,3938.0,3823.0,7761
POLONIA,1637.0,1658.0,3295
PORTUGAL,500.0,581.0,1081
REINO UNIDO,8262.0,9005.0,17267
REPÚBLICA CHECA,992.0,1182.0,2174
RUMANIA,303.0,262.0,565
RUSIA,502.0,425.0,927
SUECIA,1243.0,1052.0,2295
SUIZA,2704.0,2795.0,5499
OTROS EUROPA,1815.0,1804.0,3619
ASIA Y EL PACÍFICO,4746.0,4837.0,9583
CHINA,1412.0,1220.0,2632
FILIPINAS,232.0,177.0,409
INDIA,730.0,927.0,1657
JAPON,433.0,678.0,1111
REP. DE COREA (SUR),235.0,420.0,655
REP. DEM. POP. DE COREA (NORTE),,,
TAIWAN,113.0,143.0,256
AUSTRALIA,1062.0,837.0,1899
NUEVA ZELANDA,200.0,163.0,363
OTROS ASIA Y EL PACÍFICO,329.0,272.0,601
ÁFRICA,264.0,300.0,564
MARRUECOS,34.0,22.0,56
NIGERIA,10.0,45.0,55
SUDAFRICA,148.0,162.0,310
OTROS ÁFRICA,72.0,71.0,143
ORIENTE MEDIO,95.0,86.0,181
ARABIA SAUDITA,23.0,6.0,29
EGIPTO,27.0,17.0,44
EMIRATOS ARABES UNIDOS,2.0,8.0,10
JORDANIA,11.0,9.0,20
LIBANO,7.0,22.0,29
OTROS ORIENTE MEDIO,25.0,24.0,49
