Ano,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total,2 959 869,3 016 667,3 139 008,1 011 912,1 347 055,2 349 537,2 751 134,2 919 483,2 943 991
América del norte,1 507 945,1 580 991,1 666 571, 571 010, 958 792,1 533 502,1 820 038,1 989 725,1 999 600
Canadá, 201 921, 217 006, 234 621, 115 632, 53 185, 183 678, 260 744, 272 256, 274 081
Estados Unidos,1 199 241,1 265 067,1 334 777, 434 775, 868 986,1 290 038,1 473 620,1 621 340,1 627 807
México, 106 783, 98 918, 97 173, 20 603, 36 621, 59 786, 85 674, 96 129, 97 712
América Central, 735 178, 691 386, 698 601, 202 374, 78 425, 194 242, 235 712, 235 860, 247 850
Belice,  970,  964, 1 103,  203,  274,  517,  782,  720,  821
El Salvador, 81 091, 76 937, 78 948, 20 898, 12 300, 28 173, 31 849, 28 258, 30 776
Guatemala, 78 032, 65 633, 69 471, 18 549, 15 638, 30 991, 43 075, 45 576, 46 232
Honduras, 40 300, 38 135, 42 024, 10 171, 7 436, 18 733, 20 505, 18 710, 24 439
Nicaragua, 429 990, 416 915, 414 983, 123 956, 27 634, 78 473, 94 083, 95 799, 97 554
Panamá, 104 795, 92 802, 92 072, 28 597, 15 143, 37 355, 45 418, 46 797, 48 028
América del Sur, 181 399, 190 413, 195 581, 50 237, 60 221, 110 852, 134 399, 136 466, 155 589
Argentina, 30 992, 40 832, 37 948, 10 571, 8 868, 20 746, 28 564, 28 736, 36 992
Bolivia, 2 115, 2 181, 2 638,  584,  797, 1 280, 1 859, 1 792, 1 614
Brasil, 21 485, 22 329, 26 815, 6 466, 11 864, 15 878, 21 249, 21 484, 25 995
Chile, 13 555, 18 297, 21 235, 6 487, 5 200, 15 317, 20 164, 19 340, 19 339
Colombia, 47 953, 46 723, 44 557, 11 254, 14 919, 25 547, 29 267, 31 361, 34 980
Ecuador, 6 306, 6 280, 6 434, 1 446, 1 798, 4 151, 5 698, 6 716, 7 735
Guyana,  248,  214,  290,  45,  100,  204,  287,  322,  371
Guyana Francesa,0,0,0,0,  1,0,0,  1,0
Paraguay, 1 017, 1 005, 1 603,  234,  310,  798,  936,  982, 1 119
Perú, 13 261, 14 865, 17 007, 4 029, 5 996, 17 163, 17 179, 15 852, 17 253
Surinam,  91,  98,  89,  14,  11,  50,  127,  107,  119
Uruguay, 4 099, 4 392, 5 041, 1 436, 1 883, 3 661, 4 153, 4 465, 5 089
Venezuela, 40 277, 33 197, 31 924, 7 671, 8 474, 6 057, 4 916, 5 308, 4 983
Caribe, 13 381, 12 997, 13 510, 3 247, 4 452, 7 457, 10 062, 10 628, 11 309
Bahamas,  423,  355,  367,  79,  252,  319,  522,  506,  735
Bermuda,  364,  344,  339,  47,  61,  99,  121,  64,  73
Cuba, 3 167, 3 149, 3 042, 1 126,  739,  697, 1 033, 1 196, 1 666
Haití,  399,  409,  502,  121,  341,  409,  378,  446,  317
Jamaica,  982,  997, 1 180,  223,  622,  874,  993, 1 057,  893
Puerto Rico1,  13,  7,  5,0,0,  1,  1,  3,  156
República Dominicana, 5 956, 5 897, 6 071, 1 313, 1 798, 3 839, 5 156, 5 496, 5 646
Trinidad y Tobago, 1 356, 1 212, 1 371,  217,  354,  696, 1 085, 1 065,  973
Otros Caribe,  721,  627,  633,  121,  285,  523,  773,  795,  850
Europa, 462 295, 480 102, 500 602, 169 949, 229 813, 469 643, 499 519, 485 725, 471 642
Alemania, 70 960, 74 574, 80 580, 28 821, 34 700, 79 701, 91 511, 86 571, 83 500
Austria, 7 688, 8 089, 8 322, 3 146, 3 827, 8 402, 9 327, 9 148, 8 728
Bélgica, 12 275, 12 381, 12 256, 3 777, 5 460, 11 861, 12 814, 13 606, 13 143
Dinamarca, 6 123, 6 574, 7 191, 3 255, 3 045, 8 641, 7 968, 8 155, 7 353
Eslovaquia, 1 236, 1 323, 1 296,  556, 1 122, 1 767, 1 783, 1 746, 1 787
España, 69 782, 68 634, 69 745, 14 801, 41 857, 58 367, 59 242, 59 201, 57 869
Finlandia, 1 894, 1 824, 1 832,  728,  569, 1 513, 1 993, 1 893, 1 846
Francia, 69 803, 74 032, 77 013, 35 267, 32 199, 65 411, 74 484, 76 685, 71 323
Hungría, 1 357, 1 636, 1 966,  880, 1 391, 2 252, 2 374, 2 692, 2 608
Irlanda, 4 321, 4 578, 4 411, 1 212, 1 430, 4 969, 5 495, 5 633, 5 256
Israel, 14 563, 14 359, 14 869, 4 351, 13 148, 18 770, 15 172, 10 041, 13 317
Italia, 29 047, 29 171, 30 196, 8 936, 9 061, 18 089, 21 391, 21 832, 22 710
Noruega, 3 485, 3 784, 4 007, 1 172, 1 021, 3 848, 3 998, 3 780, 3 885
Países Bajos, 30 316, 32 561, 34 712, 10 421, 10 784, 34 518, 37 464, 36 638, 36 125
Polonia, 4 186, 5 056, 6 212, 2 340, 5 533, 7 116, 7 496, 7 708, 8 837
Portugal, 4 268, 5 808, 5 953, 1 459, 3 173, 5 169, 5 526, 5 530, 5 422
Reino Unido, 76 173, 74 338, 78 562, 24 623, 18 048, 77 810, 77 376, 74 674, 70 354
Republica Checa, 3 028, 3 909, 3 723, 1 966, 5 571, 5 762, 6 524, 6 667, 6 815
Rumanía, 1 695, 2 032, 2 091,  855, 1 426, 1 974, 2 290, 2 352, 2 318
Rusia, 4 657, 4 765, 5 562, 2 049, 3 506, 4 342, 4 861, 4 177, 3 858
Suecia, 9 985, 11 117, 10 979, 4 283, 3 690, 7 727, 7 207, 7 309, 7 235
Suiza, 25 395, 28 884, 27 841, 10 487, 21 643, 29 766, 29 429, 26 541, 23 709
Otros Europa, 10 058, 10 673, 11 283, 4 564, 7 609, 11 868, 13 794, 13 146, 13 644
Otras Zonas, 59 671, 60 778, 64 143, 15 095, 15 352, 33 841, 51 404, 61 079, 58 001
Total Vía Aérea,2 189 234,2 314 888,2 418 300, 789 833,1 270 483,2 117 960,2 471 150,2 661 488,2 689 278
América del norte Vía Aérea,1 420 770,1 512 455,1 592 888, 547 466, 937 802,1 480 603,1 756 578,1 936 937,1 949 344
Canadá Vía Aérea, 182 662, 200 320, 218 982, 107 964, 49 917, 171 033, 242 970, 257 395, 260 347
Estados Unidos Vía Aérea,1 137 006,1 217 511,1 283 112, 419 978, 852 182,1 252 469,1 431 644,1 587 138,1 594 882
México Vía Aérea, 101 102, 94 624, 90 794, 19 524, 35 703, 57 101, 81 964, 92 404, 94 115
América Central Vía Aérea, 165 021, 149 450, 144 330, 32 746, 43 974, 86 924, 105 030, 103 945, 112 032
Belice Vía Aérea,  839,  865,  965,  176,  267,  455,  647,  614,  726
El Salvador Vía Aérea, 37 538, 36 491, 35 949, 7 868, 11 257, 23 572, 26 247, 22 826, 24 846
Guatemala Vía Aérea, 52 207, 40 490, 43 084, 9 151, 14 998, 29 015, 40 470, 42 485, 42 861
Honduras Vía Aérea, 15 668, 17 842, 17 619, 3 904, 5 374, 11 148, 12 248, 11 969, 15 240
