Zona_Pais,Turistas_promedio,Lat,Lon
ALEMANIA,7371.571428571428,51.1638175,10.4478313
ARABIA SAUDITA,23.071428571428573,25.6242618,42.3528328
ARGENTINA,3329.4285714285716,-34.9964963,-64.9672817
AUSTRALIA,794.2142857142857,-24.7761086,134.755
AUSTRIA,796.3571428571429,47.59397,14.12456
BAHAMAS,56.142857142857146,24.7736546,-78.0000547
BELGICA,1152.2142857142858,50.6402809,4.6667145
BELICE,65.07142857142857,17.1204943,-88.6859028
BERMUDA,5.714285714285714,32.3040273,-64.7563086
BOLIVIA,133.42857142857142,-17.0568696,-64.9912286
BRASIL,2171.0,-10.3333333,-53.2
CANADA,25454.571428571428,61.0666922,-107.991707
CHILE,1732.7142857142858,-31.7613365,-71.3187697
CHINA,1175.4285714285713,35.000074,104.999927
COLOMBIA,2834.785714285714,4.099917,-72.9088133
CUBA,130.5,23.0131338,-80.8328748
DINAMARCA,689.7857142857143,55.670249,10.3333283
ECUADOR,615.3571428571429,-1.3397668,-79.3666965
EGIPTO,20.285714285714285,26.2540493,29.2675469
EL SALVADOR,2493.5714285714284,13.8000382,-88.9140683
EMIRATOS ARABES UNIDOS,9.214285714285714,24.0002488,53.9994829
ESLOVAQUIA,163.85714285714286,48.7411522,19.4528646
ESTADOS UNIDOS,138239.7857142857,39.7837304,-100.445882
FILIPINAS,182.35714285714286,12.7503486,122.7312101
FINLANDIA,167.21428571428572,63.2467777,25.9209164
FRANCIA,6621.857142857143,46.603354,1.8883335
GUATEMALA,3767.785714285714,15.5855545,-90.345759
GUYANA,32.92857142857143,4.8417097,-58.6416891
GUYANA FRANCESA,0.0,4.0039882,-52.999998
HONDURAS,1977.642857142857,15.2572432,-86.0755145
HUNGRIA,237.57142857142858,47.1817585,19.5060937
INDIA,1010.2857142857143,22.3511148,78.6677428
IRLANDA,447.2142857142857,52.865196,-7.9794599
ISRAEL,1103.857142857143,30.8124247,34.8594762
ITALIA,1939.7857142857142,42.6384261,12.674297
JAMAICA,73.21428571428571,18.1850507,-77.3947693
JAPON,380.92857142857144,36.5748441,139.2394179
JORDANIA,8.714285714285714,31.1667049,36.941628
LIBANO,15.571428571428571,33.8750629,35.843409
MARRUECOS,26.357142857142858,28.3347722,-10.3713379
MEXICO,7881.571428571428,23.6585116,-102.0077097
NICARAGUA,8278.357142857143,12.3506436,-85.7841006
NIGERIA,28.785714285714285,9.6000359,7.9999721
NORUEGA,350.57142857142856,61.1529386,8.7876653
NUEVA ZELANDA,202.5,-41.5000831,172.8344077
PAISES BAJOS,3105.8571428571427,52.2434979,5.6343227
PANAMA,4053.214285714286,8.559559,-81.1308434
PARAGUAY,90.64285714285714,-23.3165935,-58.1693445
PERU,1431.5,-6.8699697,-75.0458515
POLONIA,831.1428571428571,52.215933,19.134422
PORTUGAL,447.2142857142857,39.6621648,-8.1353519
PUERTO RICO,11.142857142857142,18.2247706,-66.4858295
REINO UNIDO,6278.714285714285,54.7023545,-3.2765753
REP. DE COREA (SUR),276.7142857142857,,
REP. DEM. POP. DE COREA (NORTE),0.0,,
REPUBLICA CHECA,628.7142857142857,49.7439047,15.3381061
RUMANIA,206.57142857142858,45.9852129,24.6859225
RUSIA,329.7142857142857,64.6863136,97.7453061
SUDAFRICA,150.21428571428572,-28.8166236,24.991639
SUECIA,650.0,59.6749712,14.5208584
SUIZA,2083.1428571428573,46.7985624,8.2319736
SURINAM,10.642857142857142,4.1413025,-56.0771187
TAIWAN,102.14285714285714,23.9739374,120.9820179
TRINIDAD Y TOBAGO,79.64285714285714,10.7466905,-61.0840075
URUGUAY,429.14285714285717,-32.8755548,-56.0201525
VENEZUELA,411.07142857142856,8.0018709,-66.1109318
