Zona_Pais,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Setiembre,Octubre,Noviembre,Diciembre,Total_Ene_to_Dic
TOTAL,298475,293784,336476,252867,205803,232571,262048,199959,121815,145663,247387,347143,2943991
AMERICA_DEL_NORTE,202581,199882,247595,171151,149633,177467,179300,124758,69698,85817,157377,234341,1999600
CANADA,42440,39843,38851,23193,11508,8996,12551,10399,5144,9703,28897,42556,274081
ESTADOS_UNIDOS,154170,153380,200831,138949,130004,161583,156348,104920,57064,69581,119833,181144,1627807
MEXICO,5971,6659,7913,9009,8121,6888,10401,9439,7490,6533,8647,10641,97712
AMERICA_CENTRAL,22762,18287,17983,18658,15945,17835,19191,18092,19311,20584,23990,35212,247850
BELICE,58,32,68,59,56,46,63,110,76,115,65,73,821
EL_SALVADOR,2071,2063,2132,2378,1984,2021,2240,2564,2011,2656,3140,5516,30776
GUATEMALA,2888,3629,3451,3588,3188,4108,2891,3715,3103,4296,5580,5795,46232
HONDURAS,1672,1576,1419,1874,1375,1857,1868,1546,2368,2928,2582,3374,24439
NICARAGUA,11112,7231,7176,7674,6198,6313,8245,6425,7442,6675,7809,15254,97554
PANAMA,4961,3756,3737,3085,3144,3490,3884,3732,4311,3914,4814,5200,48028
CARIBE,649,841,819,947,988,1019,1108,1215,863,875,1092,893,11309
BAHAMAS,28,23,52,67,58,78,101,85,60,71,72,40,735
BERMUDA,4,3,5,6,8,8,11,5,3,2,13,5,73
CUBA,71,90,107,84,130,102,198,183,128,172,195,206,1666
HAITÃ,26,28,36,22,27,17,21,33,30,24,25,28,317
JAMAICA,48,84,62,95,79,82,90,81,64,61,76,71,893
PUERTO RICO,0,0,0,5,22,27,18,31,8,21,19,5,156
REPÃšBLICA DOMINICANA,367,455,437,523,425,542,520,625,427,425,544,356,5646
TRINIDAD Y TOBAGO,49,93,61,65,122,91,92,92,84,45,68,111,973
OTROS CARIBE,56,65,59,80,117,72,57,80,59,54,80,71,850
AMERICA_DEL_SUR,14931,14608,13159,12942,12164,11797,13270,11517,10649,11038,14027,15487,155589
ARGENTINA,5680,3940,3530,2925,2603,2205,2994,2272,2005,1993,2887,3958,36992
BOLIVIA,138,116,117,88,177,132,142,101,115,141,183,164,1614
BRASIL,2239,2160,2367,2222,2087,1949,2652,1791,1715,1547,2668,2598,25995
CHILE,2104,2815,1633,1518,1411,1430,1315,1365,1394,1271,1475,1608,19339
COLOMBIA,2209,2498,2612,3101,2638,3317,2973,2892,2777,3291,3313,3359,34980
ECUADOR,416,464,596,693,763,503,553,894,552,689,713,899,7735
GUYANA,24,66,16,22,53,23,47,40,16,29,15,20,371
GUYANA_FRANCESA,,,,,,,,,,,,,
PARAGUAY,88,62,120,129,103,78,80,69,116,65,141,68,1119
PERU,1194,1594,1376,1377,1576,1187,1681,1239,1154,1372,1758,1745,17253
SURINAM,15,26,6,4,4,7,5,8,13,8,5,7,119
URUGUAY,484,435,376,520,361,570,442,410,316,252,428,495,5089
VENEZUELA,340,432,410,343,388,396,386,436,476,381,430,565,4983
EUROPA,52837,55883,50122,44350,22153,20594,45087,40367,18379,23986,44674,53210,471642
ALEMANIA,9653,10049,10907,7708,3629,2824,5160,6415,3549,5397,9537,8672,83500
AUSTRIA,1112,1309,845,614,338,328,1073,629,298,410,791,981,8728
BELGICA,1339,1649,1178,1262,518,724,1924,1010,548,559,1177,1255,13143
DINAMARCA,1164,1140,827,563,219,253,786,173,158,439,658,973,7353
