Zona_Pais,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Setiembre,Octubre,Noviembre,Diciembre,Total_Ene_to_Dic
TOTAL,29831,21869,22617,20543,15637,15235,19459,17428,17131,16005,21161,29268,246184

AMERICA_DEL_NORTE,5565,4609,4999,4500,3168,2926,3564,3335,2572,2734,3667,4287,45576
CANADA,2216,1818,1756,1324,785,584,583,657,467,572,1217,1319,13418
ESTADOS_UNIDOS,3091,2886,2960,2532,2122,2096,2605,2365,1796,1894,2202,2544,28693
MEXICO,258,305,283,294,261,246,376,313,309,268,248,304,3465

AMERICA_CENTRAL,15717,9669,9905,10395,8159,8958,11354,9091,11208,9694,12036,19497,135683
BELICE,13,4,,8,10,6,7,20,4,2,13,1,95
EL_SALVADOR,554,323,402,521,347,397,471,507,351,285,779,970,5907
GUATEMALA,244,185,276,322,184,315,283,197,215,233,531,380,3365
HONDURAS,744,384,419,709,447,793,689,555,1136,1274,703,1341,914
NICARAGUA,10498,6651,6629,7106,5606,5572,7527,5670,6730,6011,7052,13359,89098
PANAMA,3664,2122,2173,1729,1565,1875,2377,2142,2772,1889,2958,2845,28111

AMERICA_DEL_SUR,1514,1153,1166,921,813,595,798,796,707,574,613,658,10308
ARGENTINA,739,481,572,455,391,267,318,327,297,213,252,224,4536
BOLIVIA,24,18,13,16,13,6,17,8,7,7,18,10,157
BRASIL,130,115,121,117,120,101,157,112,80,86,102,126,1367
CHILE,287,334,215,126,132,71,122,123,100,105,76,95,1786
COLOMBIA,129,44,80,89,41,52,52,60,83,55,56,45,824
ECUADOR,23,12,14,19,25,14,13,15,18,8,10,20,191
GUYANA,7,1,1,2,7,2,3,4,2,3,2,1,27
GUYANA_FRANCESA,,,,,,,,,,,,,
PARAGUAY,13,4,11,9,4,1,7,4,2,2,1,1,59
PERU,112,108,86,58,65,42,65,89,56,63,68,53,865
SURINAM,2,,,,,1,,,,,,,2
URUGUAY,32,25,35,18,12,26,24,35,27,18,16,15,283
VENEZUELA,20,11,15,12,10,13,20,19,35,14,12,30,211
CARIBE,37,51,23,23,14,20,29,32,30,24,26,24,333
BAHAMAS,1,3,4,2,1,5,2,,5,3,2,2,29
BERMUDA,,,,8,2,,,7,1,,1,,20
CUBA,8,6,4,5,1,1,11,8,7,6,9,5,71
HAITI,2,1,1,,6,9,3,6,9,1,4,6,10
JAMAICA,3,4,2,3,1,3,2,2,2,2,4,2,30
PUERTO_RICO,,,,,,,,,,,,,
REPUBLICA_DOMINICANA,14,35,8,7,4,6,11,13,10,9,5,8,130
TRINIDAD_Y_TOBAGO,1,1,3,1,4,2,,4,4,3,3,5,31
OTROS_CARIBE,8,,,1,4,3,2,5,3,1,,2,31
EUROPA,6401,5955,5993,4627,3105,2396,3409,3824,2278,2624,4319,4314,49245
ALEMANIA,1560,1469,1657,1150,617,441,443,635,600,578,950,907,11007
AUSTRIA,153,147,133,95,66,34,130,124,50,49,75,111,1167
BELGICA,130,101,141,100,75,52,80,69,28,51,108,86,1021
DINAMARCA,166,153,121,74,61,29,33,17,18,84,104,72,928
ESLOVAQUIA,23,32,17,20,11,9,12,5,2,3,18,19,163
ESPANA,484,351,428,375,272,235,426,662,319,307,342,362,4563
FINLANDIA,33,22,8,22,12,17,13,5,6,13,23,31,203
FRANCIA,647,656,622,499,348,251,400,451,232,264,425,499,5294
HUNGRIA,56,19,37,17,12,17,14,8,10,4,18,11,223
IRLANDA,47,76,93,72,75,91,128,115,33,38,66,46,897
ISRAEL,88,79,97,135,131,168,211,113,145,162,74,96,1499
ITALIA,298,275,208,222,171,127,27,261,107,126,191,257,2394
NORUEGA,94,70,88,63,28,22,58,13,16,43,45,52,592
PAISES_BAJOS,567,567,526,405,271,179,369,458,133,169,396,324,4364
POLONIA,232,322,201,67,79,27,82,53,38,51,321,147,1620
PORTUGAL,40,38,37,60,20,23,26,44,50,17,31,49,435
REINO_UNIDO,804,772,746,733,493,384,435,442,242,305,454,520,5330
