Zona_Pais,Enero,Febrero,Total_Ene_Feb
TOTAL,321992,331967,653959
AMERICA DEL NORTE,224641,230248,454889
CANADA,51655,52221,103876
ESTADOS UNIDOS,165662,171365,337027
MEXICO,7324,6662,13986
AMERICA CENTRAL,20640,18134,38774
BELICE,58,47,105
EL SALVADOR,2222,1985,4207
GUATEMALA,2883,3475,6358
HONDURAS,1525,1262,2787
NICARAGUA,9186,6828,16014
PANAMA,4766,4537,9303
AMÉRICA DEL SUR,16478,15632,32110
ARGENTINA,5677,4150,9827
BOLIVIA,188,108,296
BRASIL,2731,2655,5386
CHILE,2004,2568,4572
COLOMBIA,2539,2654,5193
ECUADOR,615,601,1216
GUYANA,32,21,53
GUYANA FRANCESA,,,
PARAGUAY,100,63,163
PERU,1750,2000,3750
SURINAM,2,4,6
URUGUAY,520,427,947
VENEZUELA,320,381,701
CARIBE,845,1143,1988
BAHAMAS,37,63,100
BERMUDA,3,3,6
CUBA,174,171,345
HAITI,25,14,39
JAMAICA,52,115,167
PUERTO RICO,10,11,21
REPUBLICA DOMINICANA,442,415,857
TRINIDAD Y TOBAGO,39,153,192
OTROS CARIBE,63,198,261
EUROPA,54283,61587,115870
ALEMANIA,9298,11036,20334
AUSTRIA,1018,1277,2295
BELGICA,1147,1858,3005
DINAMARCA,1167,1372,2539
ESLOVAQUIA,241,333,574
ESPAÑA,3962,4401,8363
FINLANDIA,269,251,520
FRANCIA,9394,12808,22202
HUNGRIA,496,381,877
IRLANDA,548,493,1041
ISRAEL,1698,1624,3322
ITALIA,2643,2577,5220
NORUEGA,506,589,1095
PAÍSES BAJOS,3938,3823,7761
POLONIA,1637,1658,3295
PORTUGAL,500,581,1081
REINO UNIDO,8262,9005,17267
REPÚBLICA CHECA,992,1182,2174
RUMANIA,303,262,565
RUSIA,502,425,927
SUECIA,1243,1052,2295
SUIZA,2704,2795,5499
OTROS EUROPA,1815,1804,3619
ASIA Y EL PACÍFICO,4746,4837,9583
CHINA,1412,1220,2632
FILIPINAS,232,177,409
INDIA,730,927,1657
JAPON,433,678,1111
REP. DE COREA (SUR),235,420,655
REP. DEM. POP. DE COREA (NORTE),,,
TAIWAN,113,143,256
AUSTRALIA,1062,837,1899
NUEVA ZELANDA,200,163,363
OTROS ASIA Y EL PACÍFICO,329,272,601
ÁFRICA,264,300,564
MARRUECOS,34,22,56
NIGERIA,10,45,55
SUDAFRICA,148,162,310
OTROS ÁFRICA,72,71,143
ORIENTE MEDIO,95,86,181
ARABIA SAUDITA,23,6,29
EGIPTO,27,17,44
EMIRATOS ARABES UNIDOS,2,8,10
JORDANIA,11,9,20
LIBANO,7,22,29
OTROS ORIENTE MEDIO,25,24,49

