Zona_Pais,Enero,Febrero,Total_Ene_Feb
AMÉRICA DEL NORTE,10706,13119,37225
Canadá,10153,15174,29768
Estados Unidos,8434,9134,17757
México,9621,6034,15633

AMÉRICA CENTRAL,7200,8102,15302
Belice,51,88,139
El Salvador,1731,1679,3410
Guatemala,924,822,1746
Honduras,2533,2823,5356
Nicaragua,664,773,1437
Panamá,1295,1561,2856

AMÉRICA DEL SUR,14961,14473,29434
Argentina,5042,3717,8759
Bolivia,1255,4687,5943
Brasil,2576,2967,5543
Chile,1755,2326,4081
Colombia,2415,2573,4988
Ecuador,587,572,1159
Guyana,29,18,47
Guyana Francesa,,,
Paraguay,92,60,152
Perú,1642,1688,3330
Surinam,2,4,6
Uruguay,491,404,895
Venezuela,305,366,671

CARIBE,7357,10659,18016
Bahamas,31,55,86
Bermuda,3,3,6
Cuba,153,158,311
Haití,41,114,155
Jamaica,20,101,121
Puerto Rico,10,11,21
República Dominicana,412,386,798
Trinidad y Tobago,43,143,186
Otros Caribe,53,90,143

EUROPA,45916,53665,99681
Alemania,7594,9465,17059
Austria,835,1088,1923
Bélgica,983,1609,2592
Dinamarca,1053,1170,2223
Eslovaquia,1982,2988,4970
España,3369,4011,7380
Finlandia,309,203,512
Francia,8417,11140,19557
Hungría,446,333,779
Irlanda,446,437,883
Israel,1427,1840,3267
Italia,2167,2136,4303
Noruega,406,3508,3914
Países Bajos,3258,3385,6643
Polonia,3199,2156,5355
Portugal,427,515,942
Reino Unido,7211,7726,14937
República Checa,842,1021,1863
Rumanía,368,334,702
Rusia,1029,845,1874
Suecia,1252,3138,4390
Suiza,2451,2438,4889
Otros Europa,1221,1083,2304

ASIA Y EL PACÍFICO,3391,3609,7000
China,1160,1007,2167
Filipinas,153,170,323
India,330,727,1057
Japón,338,567,905
Rep. de Corea (Sur),179,333,512
Rep. Dem. Pop. Corea (Norte),,,
Taiwan,83,105,188
Australia,645,489,1134
Nueva Zelanda,118,89,207
Otros Asia y el Pacífico,204,192,396

ÁFRICA,173,183,356
Marruecos,26,27,53
Nigeria,8,20,28
Sudáfrica,85,87,172
Otros África,55,49,104

ORIENTE MEDIO,72,54,126
Arabia Saudita,18,12,30
Egipto,2,8,10
Emiratos Árabes Unidos,10,7,17
Jordania,5,7,12
Líbano,16,9,25
Otros Oriente Medio,21,15,36
``
