Zona_Pais,Enero,Febrero,Total_Ene_Feb
TOTAL,115986,114420,230406

AMÉRICA DEL NORTE,112741,111122,223863
Canadá,35094,34580,69674
Estados Unidos,77512,76417,153929
México,185,115,300

AMÉRICA CENTRAL,66,56,122
Belice,6,38,44
El Salvador,28,5,33
Guatemala,9,29,38
Honduras,6,6,12
Nicaragua,1,0,1
Panamá,15,6,21

AMÉRICA DEL SUR,285,220,505
Argentina,122,51,173
Bolivia,6,5,11
Brasil,88,83,171
Chile,13,16,29
Colombia,32,31,63
Ecuador,5,7,12
Guyana,3,2,5
Guyana Francesa,,,
Paraguay,1,0,1
Perú,3,18,21
Surinam,,,
Uruguay,6,3,9
Venezuela,4,9,13

CARIBE,67,60,127
Bahamas,4,8,12
Bermuda,,,
Cuba,15,12,27
Haití,4,2,6
Jamaica,9,8,17
Puerto Rico,,,
República Dominicana,25,9,34
Trinidad y Tobago,6,9,15
Otros Caribe,4,2,6

EUROPA,2118,2175,4293
Alemania,272,228,500
Austria,51,44,95
Bélgica,41,39,80
Dinamarca,21,46,67
Eslovaquia,23,6,29
España,44,88,132
Finlandia,12,22,34
Francia,183,214,397
Hungría,19,19,38
Irlanda,52,53,105
Israel,126,154,280
Italia,86,198,284
Noruega,26,23,49
Países Bajos,90,83,173
Polonia,78,80,158
Portugal,32,17,49
Reino Unido,385,410,795
República Checa,43,55,98
Rumanía,10,14,24
Rusia,47,28,75
Suecia,59,61,120
Suiza,99,106,205
Otros Europa,219,200,419

ASIA Y EL PACÍFICO,651,705,1356
China,152,199,351
Filipinas,129,177,306
India,73,78,151
Japón,27,52,79
Rep. de Corea (Sur),27,35,62
Rep. Dem. Pop. Corea (Norte),,,
Taiwan,4,23,27
Australia,142,123,265
Nueva Zelanda,29,18,47
Otros Asia y el Pacífico,68,63,131

ÁFRICA,65,48,113
Marruecos,5,5,10
Nigeria,3,18,21
Sudáfrica,28,21,49
Otros África,29,4,33

ORIENTE MEDIO,13,22,35
Arabia Saudita,5,1,6
Egipto,5,2,7
Emiratos Árabes Unidos,,2,2
Jordania,10,7,17
Líbano,,6,6
Otros Oriente Medio,2,11,13
``
