Zona_Pais,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Setiembre,Octubre,Noviembre,Diciembre,Total_Ene_to_Dic
TOTAL,266675,270810,312844,231678,189881,217120,242408,182342,104246,129369,225679,316226,2689278
AMÉRICA_DEL_NORTE,195872,194646,242171,166811,146377,174444,175710,121295,66869,82858,153351,228940,1949344
CANADÁ,40141,37975,37058,21859,10710,8405,11967,9735,4667,9126,27672,41032,260347
ESTADOS_UNIDOS,150027,150320,197512,136251,127813,159401,153719,102442,55033,67469,117288,177607,1594882
MÉXICO,5704,6351,7601,8701,7854,6638,10024,9118,7169,6263,8391,10301,94115
AMÉRICA_CENTRAL,7030,8602,8067,8246,7779,8868,7824,8994,8086,10888,11944,15704,112032
BELICE,45,28,62,51,46,40,56,90,72,113,52,71,726
EL_SALVADOR,1517,1738,1730,1852,1633,1618,1769,2052,1680,2371,2360,4546,24846
GUATEMALA,2642,3443,3175,3266,3004,3793,2606,3517,2888,4063,5049,5415,42861
HONDURAS,927,1192,999,1164,928,1063,1179,991,1231,1654,1879,2033,15240
NICARAGUA,614,576,546,566,592,739,718,755,712,664,753,1295,8530
PANAMÁ,1285,1625,1555,1347,1576,1615,1496,1589,1523,2023,1851,2344,19829
AMÉRICA_DEL_SUR,13396,13449,11975,12015,11342,11201,12470,10719,9924,10455,13396,14806,145148
ARGENTINA,4937,3459,2956,2470,2212,1938,2676,1945,1704,1778,2634,2734,32443
BOLIVIA,114,98,104,72,164,126,125,93,106,134,165,154,1455
BRASIL,2107,2041,2240,2101,1966,1848,2495,1779,1601,1461,2565,2455,24589
CHILE,1807,2481,1417,1392,1279,1359,1193,1242,1293,1166,1399,1513,17541
COLOMBIA,2077,2453,2528,3012,2595,3265,2921,2832,2693,3236,3254,3275,34141
ECUADOR,393,452,582,673,736,489,540,879,533,677,702,879,7535
GUYANA,21,65,12,20,53,21,44,36,13,26,13,19,343
GUYANA_FRANCESA,,,,,,,,,,,,,
PARAGUAY,75,58,109,120,99,77,73,65,113,63,140,67,1059
PERÚ,1081,1485,1286,1319,1511,1145,1616,1150,1098,1309,1680,1690,16370
SURINAM,13,26,6,4,4,7,5,8,13,7,16,8,117
URUGUAY,452,410,341,502,349,544,418,375,289,234,412,480,4806
VENEZUELA,20,18,33,53,39,44,105,169,332,341,506,398,2028
CARIBE,607,790,795,924,973,999,1079,1183,833,851,1065,864,10963
BAHAMAS,27,20,48,65,58,73,99,85,55,68,70,38,706
BERMUDA,4,3,5,6,8,8,11,5,3,2,3,5,65
CUBA,63,84,103,79,129,101,187,175,121,166,186,201,1595
HAITI,24,27,35,22,26,16,20,33,28,24,24,28,307
JAMAICA,42,80,60,92,78,79,88,97,62,59,71,68,858
PUERTO_RICO,,,,4,22,27,18,31,8,21,19,5,155
REPUBLICA_DOMINICANA,353,420,429,516,421,536,509,612,417,416,539,348,5516
TRINIDAD_Y_TOBAGO,48,92,58,64,118,89,92,88,80,42,65,105,941
OTROS_CARIBE,46,64,57,76,113,70,55,75,59,53,78,66,812
EUROPA,45762,49580,43692,39393,18943,18148,41639,36523,16030,21339,40282,48489,419820
ALEMANIA,7757,8498,9192,6433,3010,2379,4717,5779,2945,4817,8569,7709,71805
AUSTRIA,932,1159,701,847,272,293,943,506,247,361,716,886,72353
BELGICA,1199,1539,1024,1154,443,672,1843,941,520,508,1069,1157,12069
DINAMARCA,989,988,705,487,157,224,753,156,135,355,554,891,6392
ESLOVAQUIA,166,285,131,142,142,108,70,79,63,116,144,176,1622
ESPAÑA,2925,3367,3832,4352,3020,3834,6642,9561,3391,3153,4744,4430,53521
FINLANDIA,815,224,4112,389,101,61,76,67,56,71,206,328,1606
FRANCIA,8694,11276,8453,5922,3394,1832,5524,5282,1485,2694,4917,7149,65692
HUNGRIA,360,281,297,203,315,72,114,108,68,136,255,374,2303
IRLANDA,426,433,404,427,322,288,448,323,166,196,412,484,4329
ISRAEL,1001,969,831,1645,1062,691,1055,960,998,538,846,1221,11817
ITALIA,2006,1867,1747,1740,915,962,1361,2576,730,1005,950,3437,20296
ASIA_Y_EL_PACIFICO,3679,3402,5735,3938,4077,3210,3283,3311,2291,2720,5162,6985,47793
CHINA,835,868,2094,1022,1143,809,847,983,747,901,1757,1899,13905
FILIPINAS,157,130,152,183,152,128,119,140,124,121,135,119,1660
INDIA,650,722,1430,1039,1138,827,884,795,464,503,1500,2473,12425
JAPON,299,414,499,340,317,232,260,340,220,196,360,626,4103
REP_DE_COREA_SUR,320,280,309,191,244,242,248,160,143,211,228,287,2863
REP_DEM_POP_COREA_NORTE,,,,,,,,,,,,,
TAIWAN,105,67,111,78,91,73,70,64,67,55,93,102,976
AUSTRALIA,907,553,626,677,576,498,508,437,290,426,668,928,7094
NUEVA_ZELANDA,171,134,144,207,135,169,139,175,86,116,119,186,1781
OTROS_ASIA_Y_EL_PACIFICO,235,234,370,201,281,232,208,217,150,191,302,365,2986
AFRICA,232,272,307,256,281,175,260,244,170,186,300,322,3005
MARRUECOS,33,33,11,31,21,14,21,30,12,15,32,40,293
NIGERIA,15,37,25,27,48,27,36,38,19,17,33,28,350
SUDAFRICA,96,111,123,111,134,84,122,116,95,82,129,149,1352
OTROS_AFRICA,88,91,148,87,78,50,81,60,44,72,106,105,1010
ORIENTE_MEDIO,97,69,102,95,109,75,143,73,43,72,179,116,1173
ARABIA_SAUDITA,20,10,13,20,20,23,59,12,15,19,47,21,279
EGIPTO,21,15,7,18,24,13,16,16,8,16,46,35,235
EMIRATOS_ARABES_UNIDOS,7,10,6,3,13,6,26,3,8,6,16,8,112
JORDANIA,9,8,14,6,14,5,8,9,4,5,8,6,96
LIBANO,16,12,33,22,22,7,7,11,1,9,13,17,170
OTROS_ORIENTE_MEDIO,24,14,29,26,16,21,27,22,7,17,49,29,281

