Pais_o_Zona,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Setiembre,Octubre,Noviembre,Diciembre,Total
TOTAL,298475,293784,336476,252867,205803,232571,262048,199959,121815,145663,247387,347143,2943991
AMERICA DEL NORTE,202581,199882,247595,171151,149633,177467,179300,124758,69698,85817,157377,234341,1999600
CANADA,42440,39843,38851,23193,11508,8996,12551,10399,5144,9703,28897,42556,274081
ESTADOS UNIDOS,154170,153380,200831,138949,130004,161583,156348,104920,57064,69581,119833,181144,1627807
MEXICO,5971,6659,7913,9009,8121,6888,10401,9439,7490,6533,8647,10641,97712
AMERICA CENTRAL,22762,18287,17983,18658,15945,17835,19191,18092,19311,20584,23990,35212,247850
BELICE,58,32,68,59,56,46,63,110,76,115,65,73,821
EL SALVADOR,2071,2063,2132,2378,1984,2021,2240,2564,2011,2656,3140,5516,30776
GUATEMALA,2888,3629,3451,3588,3188,4108,2891,3715,3103,4296,5580,5795,46232
HONDURAS,1672,1576,1419,1874,1375,1857,1868,1546,2368,2928,2582,3374,24439
NICARAGUA,11112,7231,7176,7674,6198,6313,8245,6425,7442,6675,7809,15254,97554
PANAMA,4961,3756,3737,3085,3144,3490,3884,3732,4311,3914,4814,5200,48028
