time,temperature_2m_max,temperature_2m_min,precipitation_sum
2024-01-01,25.3,16.2,0.0
2024-01-02,24.5,14.3,0.0
2024-01-03,26.3,14.1,1.0
2024-01-04,26.2,14.6,0.4
2024-01-05,26.4,15.6,0.2
2024-01-06,26.4,13.8,0.0
2024-01-07,24.1,15.0,0.0
2024-01-08,25.4,15.0,0.0
2024-01-09,25.3,14.7,0.5
2024-01-10,27.2,15.1,4.2
2024-01-11,24.4,15.3,5.7
2024-01-12,25.2,15.6,4.7
2024-01-13,25.5,14.9,4.0
2024-01-14,26.4,15.0,0.0
2024-01-15,26.8,16.8,0.0
2024-01-16,27.7,15.1,0.0
2024-01-17,26.6,16.7,0.7
2024-01-18,26.4,18.2,0.0
2024-01-19,27.5,16.1,0.2
2024-01-20,26.7,15.4,0.0
2024-01-21,25.5,15.5,0.0
2024-01-22,25.2,16.9,0.0
2024-01-23,27.1,17.5,0.0
2024-01-24,28.0,16.7,0.0
2024-01-25,28.5,18.0,0.6
2024-01-26,26.0,17.4,0.9
2024-01-27,27.2,15.6,3.2
2024-01-28,27.1,18.4,0.0
2024-01-29,27.4,16.5,0.0
2024-01-30,25.4,16.0,0.0
2024-01-31,26.3,14.5,0.0
2024-02-01,25.4,17.1,0.0
2024-02-02,25.7,16.6,1.9
2024-02-03,24.6,14.3,5.7
2024-02-04,26.0,14.9,0.0
2024-02-05,26.4,11.9,0.2
2024-02-06,25.8,12.7,0.9
2024-02-07,24.7,15.1,0.0
2024-02-08,26.8,15.4,0.0
2024-02-09,28.6,16.0,1.6
2024-02-10,28.4,16.1,0.0
2024-02-11,28.0,15.5,0.2
2024-02-12,28.0,14.8,0.0
2024-02-13,27.5,16.2,0.0
2024-02-14,25.4,16.0,0.0
2024-02-15,26.0,17.4,0.0
2024-02-16,27.7,16.2,1.5
2024-02-17,30.3,17.9,3.1
2024-02-18,27.3,18.0,16.0
2024-02-19,26.1,18.8,0.0
2024-02-20,24.3,18.2,1.7
2024-02-21,23.4,17.0,0.4
2024-02-22,27.2,16.0,0.0
2024-02-23,26.6,15.0,0.0
2024-02-24,27.4,13.9,0.0
2024-02-25,25.1,16.0,0.0
2024-02-26,26.7,13.5,0.0
2024-02-27,26.9,16.0,0.0
2024-02-28,27.2,15.3,0.0
2024-02-29,26.4,15.0,0.0
2024-03-01,27.2,13.4,0.0
2024-03-02,28.5,14.4,0.0
2024-03-03,28.1,14.6,1.5
2024-03-04,27.8,14.9,0.0
2024-03-05,27.3,13.9,1.1
2024-03-06,27.8,16.9,0.9
2024-03-07,28.7,17.4,4.8
2024-03-08,27.2,16.8,7.3
2024-03-09,28.1,15.1,0.5
2024-03-10,30.3,15.3,0.0
2024-03-11,27.4,17.0,0.0
2024-03-12,28.0,17.7,0.0
2024-03-13,28.4,16.7,0.4
2024-03-14,29.1,17.0,1.3
2024-03-15,28.5,18.7,1.7
2024-03-16,29.1,17.8,5.6
2024-03-17,27.7,18.7,0.8
2024-03-18,28.5,17.5,1.4
2024-03-19,29.7,17.7,2.2
2024-03-20,29.5,16.3,0.7
2024-03-21,27.8,16.4,3.9
2024-03-22,26.6,15.9,2.9
2024-03-23,28.3,14.7,0.4
2024-03-24,29.7,14.3,0.5
2024-03-25,27.0,14.8,0.1
2024-03-26,25.8,14.6,3.9
2024-03-27,25.9,13.8,1.0
2024-03-28,28.9,14.7,0.9
2024-03-29,27.8,15.1,0.0
2024-03-30,27.9,12.6,0.0
2024-03-31,29.9,13.3,0.0
2024-04-01,29.3,13.3,0.0
2024-04-02,26.5,12.7,0.1
2024-04-03,27.2,13.9,0.0
2024-04-04,29.0,14.1,8.0
2024-04-05,28.8,14.8,0.9
2024-04-06,25.6,17.4,29.0
2024-04-07,25.3,16.9,12.5
2024-04-08,27.6,15.6,3.8
2024-04-09,26.7,17.6,13.7
2024-04-10,26.2,17.4,6.4
2024-04-11,28.4,17.9,3.0
2024-04-12,26.5,18.4,0.0
2024-04-13,25.3,17.6,0.0
2024-04-14,26.8,16.3,0.0
2024-04-15,28.6,14.2,0.1
2024-04-16,28.9,15.3,0.0
2024-04-17,29.7,15.3,0.7
2024-04-18,29.4,15.5,1.2
2024-04-19,27.0,16.0,2.1
2024-04-20,28.4,14.3,0.1
2024-04-21,26.0,14.9,12.4
2024-04-22,29.3,14.9,3.4
2024-04-23,29.0,15.8,1.4
2024-04-24,27.5,17.5,6.4
2024-04-25,26.7,18.3,1.1
2024-04-26,26.5,17.5,14.1
2024-04-27,27.3,16.6,17.5
2024-04-28,24.5,15.8,37.6
2024-04-29,24.8,15.6,5.4
2024-04-30,26.2,15.0,6.7
2024-05-01,26.4,15.6,1.9
2024-05-02,27.4,15.0,0.7
2024-05-03,26.6,13.7,0.8
2024-05-04,26.5,14.6,0.3
