Zona_Pais,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Setiembre,Octubre,Noviembre,Diciembre,Total_Ene_to_Dic

TOTAL,164756,174472,195680,149696,127866,139810,162479,132838,82054,98574,154096,201440,1783761
AMÉRICA_DEL_NORTE,97960,101783,128735,88772,87073,98965,98968,74033,45635,53299,84717,118943,1078613
CANADÁ,12496,12838,12375,6565,4537,3438,4927,3882,2150,3492,8307,11719,86726
ESTADOS_UNIDOS,79897,82701,108893,73664,74790,89035,83912,61115,36402,43607,68148,97079,899243
MÉXICO,5567,6244,7467,8543,7746,6492,9859,9036,7083,6200,8262,10145,92644
AMÉRICA_CENTRAL,6954,8524,7986,8175,7705,8787,7741,8943,7988,10849,11855,15563,111070
BELICE,45,28,62,51,45,39,56,90,71,112,51,70,719
EL_SALVADOR,1490,1711,1705,1839,1606,1596,1755,2035,1655,2357,2339,4508,24596
GUATEMALA,2615,3425,3148,3255,2986,3781,2583,3508,2875,4050,5038,5388,42652
HONDURAS,922,1186,994,1150,923,1057,1171,986,1175,1652,1857,2021,15094
NICARAGUA,597,560,532,539,580,714,666,743,695,659,721,1238,8264
PANAMÁ,1285,1614,1545,1341,1565,1600,1491,1581,1517,2019,1849,2338,19745
AMÉRICA_DEL_SUR,13123,13257,11782,11854,11158,11073,12247,10564,9851,10359,13209,14563,143040
ARGENTINA,4835,3422,2922,2447,2189,1923,2646,1906,1691,1768,2601,3683,32033
BOLIVIA,112,95,102,72,163,124,123,88,106,133,164,147,1429
BRASIL,2028,1977,2141,2054,1888,1803,2396,1645,1612,1434,2514,2389,23881
CHILE,1791,2463,1410,1370,1262,1345,1178,1225,1282,1153,1380,1478,17436
COLOMBIA,2048,2416,2507,2982,2574,3254,2887,2818,2676,3213,3215,3230,33820
ECUADOR,386,445,578,666,732,483,528,861,532,674,691,870,7446
GUYANA,14,64,11,17,46,14,43,30,13,21,10,18,301
GUYANA_FRANCESA,,,,,,,,,,,,,
PARAGUAY,74,58,108,120,99,77,73,65,113,62,140,66,1055
PERÚ,1071,1473,1272,1302,1490,1130,1594,1137,1086,1303,1661,1672,16191
SURINAM,13,26,6,4,4,7,5,8,13,7,16,8,117
URUGUAY,445,407,339,497,346,539,415,374,289,232,411,479,4773
VENEZUELA,306,411,386,323,365,375,359,407,438,359,406,514,4649
CARIBE,556,752,743,847,916,919,998,1104,798,796,989,789,10207
BAHAMAS,26,19,40,57,57,66,93,76,54,63,53,38,642
BERMUDA,4,2,4,3,6,8,4,4,3,2,11,4,55
CUBA,56,80,94,71,124,87,170,164,117,157,180,185,1485
HAITI,12,23,30,16,17,13,14,24,27,20,18,23,237
JAMAICA,32,68,48,71,67,69,74,64,49,55,63,54,714
PUERTO_RICO,,,,22,27,18,31,8,21,19,5,155
REPUBLICA_DOMINICANA,339,412,421,503,408,517,496,589,407,396,523,337,5345
TRINIDAD_Y_TOBAGO,46,88,53,60,112,77,87,83,77,39,58,89,869
OTROS_CARIBE,41,60,53,62,103,55,42,69,56,43,64,54,702
EUROPA,42748,46891,41099,36517,17492,17188,39733,35092,15495,20576,38465,45762,397058
ALEMANIA,7545,8243,8972,6197,2834,2278,4496,5601,2881,4721,8340,7380,69488
AUSTRIA,881,1088,670,481,255,267,889,467,238,344,684,820,7084
BELGICA,1158,1479,982,1104,413,654,1804,913,510,482,1041,1111,11651
DINAMARCA,968,971,687,470,153,221,739,148,125,340,534,872,6228
ESLOVAQUIA,160,271,103,123,131,99,63,77,57,113,126,157,1480
ESPANA,2854,3317,3779,4298,2968,3791,6561,9482,3362,3113,4674,4343,52542
FINLANDIA,195,192,104,78,90,58,74,63,51,65,199,314,1483
FRANCIA,8538,11119,8273,5755,2269,1742,5398,5138,1449,2610,4756,6923,63970
HUNGRIA,332,273,281,190,112,66,105,100,67,134,255,351,2276
IRLANDA,379,368,347,364,239,257,412,302,155,191,360,451,3825
ISRAEL,931,906,773,1541,981,649,967,858,979,517,775,1030,10907
ITALIA,1840,1753,1624,1623,836,908,1297,2462,714,973,1794,3227,19051
NORUEGA,431,390,194,279,80,187,215,116,99,175,267,589,3022
PAISES_BAJOS,3162,2883,2430,2678,1226,1073,6626,2444,1143,1387,2746,3116,30914
POLONIA,1033,1087,580,377,260,291,322,356,212,424,946,764,6652
PORTUGAL,368,345,522,589,353,265,334,371,238,214,610,490,4699
REINO_UNIDO,6519,6708,6313,6170,2436,2362,5792,4112,1541,2193,5456,5937,55539
REPUBLICA_CHECA,744,920,666,314,145,212,271,187,218,305,835,739,5556
RUMANIA,246,229,128,108,18,54,96,151,96,113,217,330,1846
RUSIA,285,258,302,200,153,185,200,200,121,215,288,429,2836
SUECIA,188,123,482,216,143,239,212,150,147,268,580,2032,6040
SUIZA,2231,2071,1838,2438,806,853,2214,678,689,1172,1788,2748,19466
OTROS_EUROPA,1160,1297,1049,864,531,477,646,716,403,567,1198,1599,10507
ASIA_Y_EL_PACIFICO,3151,2983,5004,3256,3226,2676,2737,2839,2109,2469,4472,5477,40399
CHINA,725,794,1940,882,999,743,763,880,714,838,1618,1554,12450
FILIPINAS,129,109,130,154,121,106,98,126,107,107,104,88,1379
INDIA,554,609,1196,823,883,657,680,636,429,451,1249,1791,9958
JAPON,265,378,457,304,216,196,241,324,209,189,325,554,3658
REP_COREA_SUR,288,266,278,173,211,204,223,128,138,200,199,232,2540
REP_COREA_NORTE,,,,,,,,,,,,,
TAIWAN,96,63,103,68,77,71,65,58,64,52,89,88,894
AUSTRALIA,766,449,493,539,426,377,396,355,239,375,548,731,5694
NUEVA_ZELANDA,143,109,103,155,97,139,116,155,73,105,97,148,1440
OTROS_ASIA_Y_EL_PACIFICO,185,206,304,158,196,183,155,177,136,152,243,291,2386
AFRICA,185,225,253,198,221,144,206,196,141,171,245,254,2439
MARRUECOS,30,33,5,25,16,14,21,28,12,15,27,31,255
NIGERIA,10,27,19,20,22,19,27,23,16,15,22,21,241
SUDAFRICA,77,94,93,89,117,70,93,97,77,75,107,116,1105
OTROS_AFRICA,68,71,136,64,66,41,67,48,36,66,89,86,838
ORIENTE_MEDIO,79,57,78,77,75,58,119,67,37,55,144,89,935
ARABIA_SAUDITA,20,9,7,20,18,17,54,11,14,15,29,19,233
EGIPTO,14,14,5,10,17,10,13,15,7,11,41,22,179
EMIRATOS_ARABES_UNIDOS,7,7,1,3,10,6,21,2,5,6,13,7,88
JORDANIA,9,5,11,2,5,5,5,8,4,3,7,4,68
LIBANO,10,9,26,17,11,3,4,10,1,9,11,11,122
OTROS_ORIENTE_MEDIO,19,13,28,25,14,17,22,21,6,11,43,26,245
