Zona_Pais,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Setiembre,Octubre,Noviembre,Diciembre,Total_Ene_to_Dic
TOTAL,101846,96210,117044,81894,61961,77274,79891,49477,22176,30779,71524,114686,904762

AMERICA_DEL_NORTE,97866,92783,113365,77983,59282,75472,76998,47252,21231,29559,68617,109945,870353
CANADA,27645,25137,24683,15294,6173,4396,7040,5851,2150,5634,19365,29313,173618
ESTADOS_UNIDOS,70084,67545,88551,62531,53001,70360,69793,41319,18628,23862,49123,80476,695273
MEXICO,137,101,131,158,108,146,165,82,86,63,129,156,1462

AMERICA_CENTRAL,57,53,43,56,56,60,67,44,87,24,60,103,710
BELICE,4,1,,1,1,,1,1,1,,1,1,7
EL_SALVADOR,18,23,16,7,20,18,9,15,5,8,12,20,171
GUATEMALA,18,8,5,5,18,8,19,9,9,6,11,22,138
HONDURAS,5,6,5,14,3,6,8,4,56,2,9,9,127
NICARAGUA,16,12,14,25,11,21,29,11,15,5,26,48,233
PANAMA,4,3,,5,3,6,1,5,1,2,1,3,34

AMERICA_DEL_SUR,268,190,188,154,181,128,222,152,71,95,182,241,2072
ARGENTINA,99,36,33,22,22,15,29,38,13,10,33,50,400
BOLIVIA,2,3,2,,1,2,2,5,,1,1,7,26
BRASIL,79,64,99,46,77,45,99,34,19,26,51,66,705
CHILE,16,18,7,22,17,14,15,16,11,13,19,26,194
COLOMBIA,29,36,20,28,21,11,34,13,15,23,36,45,311
ECUADOR,7,7,2,5,4,6,12,18,1,3,10,8,83
GUYANA,7,1,1,3,7,7,1,6,,5,3,1,42
GUYANA_FRANCESA,,,,,,,,,,,,,
PARAGUAY,1,,1,,1,,1,,1,,1,4
PERU,9,12,13,17,21,15,22,13,12,,6,18,176
SURINAM,,,,,,1,,,,,,1,2
URUGUAY,6,3,2,5,3,5,3,1,,2,1,1,32
VENEZUELA,13,10,8,6,8,7,5,8,,5,10,18,98
CARIBE,49,35,52,77,57,80,81,78,35,55,75,75,749
BAHAMAS,1,1,8,8,1,7,6,9,1,5,17,,64
BERMUDA,4,2,1,3,2,,7,1,,2,1,1,18
CUBA,7,4,9,8,5,14,17,11,4,9,6,16,110
HAITI,12,4,5,6,9,3,6,9,1,4,6,5,73
JAMAICA,8,12,12,21,11,10,14,15,13,4,8,14,142
PUERTO_RICO,,,,22,27,18,31,8,21,19,5,151
REPUBLICA_DOMINICANA,14,8,8,13,13,19,13,23,10,20,16,11,168
TRINIDAD_Y_TOBAGO,2,1,5,4,6,12,7,5,3,3,7,16,69
OTROS_CARIBE,5,4,4,14,10,15,13,5,3,10,13,,108
EUROPA,3013,2672,2587,2866,1440,952,1899,1425,535,763,1810,2719,22681
ALEMANIA,212,255,220,235,174,101,220,177,64,96,229,329,2312
AUSTRIA,51,70,31,33,16,25,54,38,9,17,32,46,422
BELGICA,41,57,42,50,30,18,39,28,10,26,28,46,415
DINAMARCA,21,15,18,17,4,2,14,8,10,15,20,19,163
ESLOVAQUIA,6,14,28,19,11,9,7,2,6,3,18,19,142
ESPANA,71,48,53,54,52,43,80,79,29,40,68,87,704
FINLANDIA,20,32,8,11,11,3,2,4,5,6,7,14,123
FRANCIA,155,152,180,234,123,89,125,143,36,84,159,223,1703
HUNGRIA,28,8,16,13,3,6,9,8,1,2,4,13,111
IRLANDA,47,65,57,63,83,31,36,21,11,5,52,33,504
ISRAEL,70,63,58,102,81,42,88,102,19,21,71,191,908
ITALIA,166,112,117,114,72,53,63,111,16,32,155,210,1221
NORUEGA,24,11,20,14,8,11,14,4,2,6,20,38,172
PAISES_BAJOS,70,78,49,68,61,31,173,52,19,38,64,74,777
POLONIA,72,41,53,93,23,24,26,38,15,23,51,65,524
PORTUGAL,26,17,20,31,35,3,21,40,13,7,30,26,269
REINO_UNIDO,1405,1194,1224,1314,410,271,593,355,163,135,326,540,790
REPUBLICA_CHECA,35,48,47,32,17,20,39,16,21,28,40,75,418
RUMANIA,21,7,16,20,3,9,8,14,4,11,17,22,152
RUSIA,40,23,34,31,17,20,19,22,9,16,46,26,303
SUECIA,41,30,35,40,28,9,24,4,4,9,39,66,329
SUIZA,189,169,111,130,62,60,169,58,31,63,165,244,1451
OTROS_EUROPA,202,163,150,148,116,72,76,101,38,80,169,245,1581
ASIA_Y_EL_PACIFICO,528,418,731,682,851,534,546,472,182,251,690,1508,7393
CHINA,110,74,154,140,144,66,84,103,33,63,139,345,1455
FILIPINAS,28,20,22,29,31,22,21,14,17,14,31,31,280
INDIA,96,113,234,216,255,170,204,159,35,52,251,682,2467
JAPON,34,36,42,36,101,36,19,16,11,7,35,72,445
REP_COREA_SUR,32,14,31,18,33,38,25,32,5,11,29,55,323
REP_COREA_NORTE,,,,,,,,,,,,,
TAIWAN,9,4,8,10,14,2,5,6,3,3,4,14,82
AUSTRALIA,141,104,133,138,150,121,112,82,51,51,120,197,1400
NUEVA_ZELANDA,28,25,41,52,38,30,23,20,13,11,22,38,341
OTROS_ASIA_Y_EL_PACIFICO,50,28,66,43,85,49,53,40,14,39,59,74,600
AFRICA,47,47,54,58,60,31,54,48,29,15,55,68,566
MARRUECOS,3,3,5,6,5,2,9,2,2,1,5,9,38
NIGERIA,5,10,6,7,26,8,9,15,3,2,11,7,109
SUDAFRICA,19,17,30,22,17,14,29,19,18,7,22,33,247
OTROS_AFRICA,20,20,12,23,12,9,14,12,8,5,17,19,172
