id,Zona_Pais,Año2017,Año2018,Año2019,Año2020,Año2021,Año2022,Año2023,Año2024,Año2025
1,Total,2959869.0,3016667.0,3139008.0,1011912.0,1347055.0,2349537.0,2751134.0,2919483,2943991.0
2,América del Norte,1507945.0,1580991.0,1666571.0,571010.0,958792.0,1533502.0,1820038.0,1989725,1999600.0
3,Canadá,201921.0,217006.0,234621.0,115632.0,53185.0,183678.0,260744.0,272256,274081.0
4,Estados Unidos,1199241.0,1265067.0,1334777.0,434775.0,868986.0,1290038.0,1473620.0,1621340,1627807.0
5,México,106783.0,98918.0,97173.0,20603.0,36621.0,59786.0,85674.0,96129,97712.0
6,América Central,735178.0,691386.0,698601.0,202374.0,78425.0,194242.0,235712.0,235860,247850.0
7,Belice,970.0,964.0,1103.0,203.0,274.0,517.0,782.0,720,821.0
8,ElSalvador,81091.0,76937.0,78948.0,20898.0,12300.0,28173.0,31849.0,28258,30776.0
9,Guatemala,78032.0,65633.0,69471.0,18549.0,15638.0,30991.0,43075.0,45576,46232.0
10,Honduras,40300.0,38135.0,42024.0,10171.0,7436.0,18733.0,20505.0,18710,24439.0
11,Nicaragua,429990.0,416915.0,414983.0,123956.0,27634.0,78473.0,94083.0,95799,97554.0
12,Panamá,104795.0,92802.0,92072.0,28597.0,15143.0,37355.0,45418.0,46797,48028.0
13,América del Sur,181399.0,190413.0,195581.0,50237.0,60221.0,110852.0,134399.0,136466,155589.0
14,Argentina,30992.0,40832.0,37948.0,10571.0,8868.0,20746.0,28564.0,28736,36992.0
15,Bolivia,2115.0,2181.0,2638.0,584.0,797.0,1280.0,1859.0,1792,1614.0
16,Brasil,21485.0,22329.0,26815.0,6466.0,11864.0,15878.0,21249.0,21484,25995.0
17,Chile,13555.0,18297.0,21235.0,6487.0,5200.0,15317.0,20164.0,19340,19339.0
18,Colombia,47953.0,46723.0,44557.0,11254.0,14919.0,25547.0,29267.0,31361,34980.0
19,Ecuador,6306.0,6280.0,6434.0,1446.0,1798.0,4151.0,5698.0,6716,7735.0
20,Guyana,248.0,214.0,290.0,45.0,100.0,204.0,287.0,322,371.0
